category,age_band,text_he,text_en,option1,option2,option3,option1_en,option2_en,option3_en,correct_index
math,12-13,מהו הערך של x במשוואה: 5x + 1 = 76. מה x?,Solve: 5x + 1 = 76. What is x?,15,16,13,15,16,13,0
math,12-13,מהו הערך של x במשוואה: 5x + 4 = 29. מה x?,Solve: 5x + 4 = 29. What is x?,5,6,3,5,6,3,0
math,12-13,מהו הערך של x במשוואה: 3x + 5 = 26. מה x?,Solve: 3x + 5 = 26. What is x?,7,8,5,7,8,5,0
math,12-13,מהו הערך של x במשוואה: 3x + 1 = 16. מה x?,Solve: 3x + 1 = 16. What is x?,5,6,3,5,6,3,0
math,12-13,"מה שטח ריבוע שאורך צלעו 5 ס""מ?",What is the area of a square with a 5cm side?,25,20,30,25,20,30,0
math,12-13,"מה שטח ריבוע שאורך צלעו 6 ס""מ?",What is the area of a square with a 6cm side?,36,24,42,36,24,42,0
math,12-13,"מה שטח ריבוע שאורך צלעו 8 ס""מ?",What is the area of a square with a 8cm side?,64,32,72,64,32,72,0
math,12-13,"מה שטח ריבוע שאורך צלעו 9 ס""מ?",What is the area of a square with a 9cm side?,81,36,90,81,36,90,0
math,12-13,"מה שטח ריבוע שאורך צלעו 10 ס""מ?",What is the area of a square with a 10cm side?,100,40,110,100,40,110,0
math,12-13,"מה שטח ריבוע שאורך צלעו 11 ס""מ?",What is the area of a square with a 11cm side?,121,44,132,121,44,132,0
math,12-13,"מה שטח ריבוע שאורך צלעו 12 ס""מ?",What is the area of a square with a 12cm side?,144,48,156,144,48,156,0
math,12-13,"מה שטח ריבוע שאורך צלעו 13 ס""מ?",What is the area of a square with a 13cm side?,169,52,182,169,52,182,0
math,12-13,"מה שטח ריבוע שאורך צלעו 14 ס""מ?",What is the area of a square with a 14cm side?,196,56,210,196,56,210,0
math,12-13,"מה שטח ריבוע שאורך צלעו 15 ס""מ?",What is the area of a square with a 15cm side?,225,60,240,225,60,240,0
math,12-13,"מה שטח ריבוע שאורך צלעו 16 ס""מ?",What is the area of a square with a 16cm side?,256,64,272,256,64,272,0
math,12-13,"מה שטח ריבוע שאורך צלעו 17 ס""מ?",What is the area of a square with a 17cm side?,289,68,306,289,68,306,0
math,12-13,מה ההיקף של מלבן שאורכו 16 ורוחבו 7?,What is the perimeter of a rectangle with length 16 and width 7?,46,112,23,46,112,23,0
math,12-13,מה ההיקף של מלבן שאורכו 12 ורוחבו 15?,What is the perimeter of a rectangle with length 12 and width 15?,54,180,27,54,180,27,0
math,12-13,מה ההיקף של מלבן שאורכו 6 ורוחבו 14?,What is the perimeter of a rectangle with length 6 and width 14?,40,84,20,40,84,20,0
math,12-13,מה ההיקף של מלבן שאורכו 12 ורוחבו 7?,What is the perimeter of a rectangle with length 12 and width 7?,38,84,19,38,84,19,0
math,12-13,מה ההיקף של מלבן שאורכו 20 ורוחבו 8?,What is the perimeter of a rectangle with length 20 and width 8?,56,160,28,56,160,28,0
math,12-13,מה ההיקף של מלבן שאורכו 14 ורוחבו 2?,What is the perimeter of a rectangle with length 14 and width 2?,32,28,16,32,28,16,0
math,12-13,מה ההיקף של מלבן שאורכו 7 ורוחבו 6?,What is the perimeter of a rectangle with length 7 and width 6?,26,42,13,26,42,13,0
math,12-13,מה ההיקף של מלבן שאורכו 9 ורוחבו 11?,What is the perimeter of a rectangle with length 9 and width 11?,40,99,20,40,99,20,0
math,12-13,מה ההיקף של מלבן שאורכו 12 ורוחבו 2?,What is the perimeter of a rectangle with length 12 and width 2?,28,24,14,28,24,14,0
math,12-13,מה ההיקף של מלבן שאורכו 7 ורוחבו 11?,What is the perimeter of a rectangle with length 7 and width 11?,36,77,18,36,77,18,0
math,12-13,מה ההיקף של מלבן שאורכו 17 ורוחבו 7?,What is the perimeter of a rectangle with length 17 and width 7?,48,119,24,48,119,24,0
math,12-13,מה ההיקף של מלבן שאורכו 14 ורוחבו 8?,What is the perimeter of a rectangle with length 14 and width 8?,44,112,22,44,112,22,0
math,12-13,מה ההיקף של מלבן שאורכו 20 ורוחבו 3?,What is the perimeter of a rectangle with length 20 and width 3?,46,60,23,46,60,23,0
math,12-13,מה ההיקף של מלבן שאורכו 16 ורוחבו 11?,What is the perimeter of a rectangle with length 16 and width 11?,54,176,27,54,176,27,0
math,12-13,מה ההיקף של מלבן שאורכו 10 ורוחבו 6?,What is the perimeter of a rectangle with length 10 and width 6?,32,60,16,32,60,16,0
math,12-13,כמה זה 3 בריבוע?,What is 3 squared?,9,6,12,9,6,12,0
math,12-13,כמה זה 4 בריבוע?,What is 4 squared?,16,8,20,16,8,20,0
math,12-13,כמה זה 5 בריבוע?,What is 5 squared?,25,10,30,25,10,30,0
math,12-13,כמה זה 6 בריבוע?,What is 6 squared?,36,12,42,36,12,42,0
math,12-13,כמה זה 7 בריבוע?,What is 7 squared?,49,14,56,49,14,56,0
math,12-13,כמה זה 8 בריבוע?,What is 8 squared?,64,16,72,64,16,72,0
math,12-13,כמה זה 9 בריבוע?,What is 9 squared?,81,18,90,81,18,90,0
math,12-13,כמה זה 10 בריבוע?,What is 10 squared?,100,20,110,100,20,110,0
math,14-16,מהו הערך של x במשוואה: 5x + 9 = 1x - 19. מה x?,Solve: 5x + 9 = 1x - 19. What is x?,-7,-5,-10,-7,-5,-10,0
math,14-16,מהו הערך של x במשוואה: 2x + 10 = 3x + 5. מה x?,Solve: 2x + 10 = 3x + 5. What is x?,5,7,2,5,7,2,0
math,14-16,מהו הערך של x במשוואה: 2x + 9 = 3x + 7. מה x?,Solve: 2x + 9 = 3x + 7. What is x?,2,4,-1,2,4,-1,0
math,14-16,מהו הערך של x במשוואה: 5x + 7 = 3x + 9. מה x?,Solve: 5x + 7 = 3x + 9. What is x?,1,3,-2,1,3,-2,0
math,14-16,מהו הערך של x במשוואה: 4x + 3 = 5x - 11. מה x?,Solve: 4x + 3 = 5x - 11. What is x?,14,16,11,14,16,11,0
math,14-16,מהו הערך של x במשוואה: 5x + 3 = 4x + 1. מה x?,Solve: 5x + 3 = 4x + 1. What is x?,-2,0,-5,-2,0,-5,0
math,14-16,מהו הערך של x במשוואה: 6x + 7 = 3x + 40. מה x?,Solve: 6x + 7 = 3x + 40. What is x?,11,13,8,11,13,8,0
math,14-16,מהו הערך של x במשוואה: 2x + 5 = 3x - 4. מה x?,Solve: 2x + 5 = 3x - 4. What is x?,9,11,6,9,11,6,0
math,14-16,מהו הערך של x במשוואה: 5x + 9 = 2x + 27. מה x?,Solve: 5x + 9 = 2x + 27. What is x?,6,8,3,6,8,3,0
math,14-16,מהו הערך של x במשוואה: 3x + 5 = 1x + 19. מה x?,Solve: 3x + 5 = 1x + 19. What is x?,7,9,4,7,9,4,0
math,14-16,מהו הערך של x במשוואה: 6x + 2 = 3x + 26. מה x?,Solve: 6x + 2 = 3x + 26. What is x?,8,10,5,8,10,5,0
math,14-16,מהו הערך של x במשוואה: 4x + 4 = 2x + 2. מה x?,Solve: 4x + 4 = 2x + 2. What is x?,-1,1,-4,-1,1,-4,0
math,14-16,מהו הערך של x במשוואה: 2x + 4 = 1x + 0. מה x?,Solve: 2x + 4 = 1x + 0. What is x?,-4,-2,-7,-4,-2,-7,0
math,14-16,מהו הערך של x במשוואה: 6x + 8 = 1x + 43. מה x?,Solve: 6x + 8 = 1x + 43. What is x?,7,9,4,7,9,4,0
math,14-16,מהו הערך של x במשוואה: 6x + 7 = 2x + 27. מה x?,Solve: 6x + 7 = 2x + 27. What is x?,5,7,2,5,7,2,0
math,14-16,מהו הערך של x במשוואה: 5x + 3 = 2x + 24. מה x?,Solve: 5x + 3 = 2x + 24. What is x?,7,9,4,7,9,4,0
math,14-16,מהו הערך של x במשוואה: 2x + 7 = 1x + 19. מה x?,Solve: 2x + 7 = 1x + 19. What is x?,12,14,9,12,14,9,0
math,14-16,מהו הערך של x במשוואה: 3x + 8 = 5x + 10. מה x?,Solve: 3x + 8 = 5x + 10. What is x?,-1,1,-4,-1,1,-4,0
math,14-16,מהו הערך של x במשוואה: 6x + 2 = 2x - 26. מה x?,Solve: 6x + 2 = 2x - 26. What is x?,-7,-5,-10,-7,-5,-10,0
math,14-16,מהו הערך של x במשוואה: 3x + 9 = 4x + 3. מה x?,Solve: 3x + 9 = 4x + 3. What is x?,6,8,3,6,8,3,0
math,14-16,מהו הערך של x במשוואה: 6x + 8 = 3x + 35. מה x?,Solve: 6x + 8 = 3x + 35. What is x?,9,11,6,9,11,6,0
math,14-16,מהו הערך של x במשוואה: 6x + 9 = 4x + 31. מה x?,Solve: 6x + 9 = 4x + 31. What is x?,11,13,8,11,13,8,0
math,14-16,מהו הערך של x במשוואה: 3x + 8 = 4x + 2. מה x?,Solve: 3x + 8 = 4x + 2. What is x?,6,8,3,6,8,3,0
math,14-16,מהו הערך של x במשוואה: 5x + 5 = 2x + 29. מה x?,Solve: 5x + 5 = 2x + 29. What is x?,8,10,5,8,10,5,0
math,14-16,מהו הערך של x במשוואה: 2x + 4 = 3x - 2. מה x?,Solve: 2x + 4 = 3x - 2. What is x?,6,8,3,6,8,3,0
math,14-16,"מה הממוצע של 9, 11, 11, 29?","What is the average of 9, 11, 11, 29?",15,17,12,15,17,12,0
math,14-16,"מה הממוצע של 19, 3, 5, 5?","What is the average of 19, 3, 5, 5?",8,10,5,8,10,5,0
math,14-16,"מה הממוצע של 11, 13, 23, 5?","What is the average of 11, 13, 23, 5?",13,15,10,13,15,10,0
math,14-16,"מה הממוצע של 24, 7, 3, 14?","What is the average of 24, 7, 3, 14?",12,14,9,12,14,9,0
math,14-16,"מה הממוצע של 16, 11, 18, 15?","What is the average of 16, 11, 18, 15?",15,17,12,15,17,12,0
math,14-16,"מה הממוצע של 16, 2, 7, 27?","What is the average of 16, 2, 7, 27?",13,15,10,13,15,10,0
math,14-16,"מה הממוצע של 17, 13, 29, 25?","What is the average of 17, 13, 29, 25?",21,23,18,21,23,18,0
math,14-16,"מה הממוצע של 20, 23, 1, 28?","What is the average of 20, 23, 1, 28?",18,20,15,18,20,15,0
math,14-16,"מה הממוצע של 31, 25, 19, 13?","What is the average of 31, 25, 19, 13?",22,24,19,22,24,19,0
math,14-16,"מה הממוצע של 17, 1, 12, 10?","What is the average of 17, 1, 12, 10?",10,12,7,10,12,7,0
math,14-16,"מה הממוצע של 26, 13, 28, 29?","What is the average of 26, 13, 28, 29?",24,26,21,24,26,21,0
math,14-16,"מה הממוצע של 28, 14, 18, 24?","What is the average of 28, 14, 18, 24?",21,23,18,21,23,18,0
math,14-16,"מה הממוצע של 24, 18, 26, 20?","What is the average of 24, 18, 26, 20?",22,24,19,22,24,19,0
math,14-16,"מה הממוצע של 32, 8, 16, 8?","What is the average of 32, 8, 16, 8?",16,18,13,16,18,13,0
math,14-16,"מה הממוצע של 9, 14, 16, 1?","What is the average of 9, 14, 16, 1?",10,12,7,10,12,7,0
math,14-16,כמה זה השורש הריבועי של 121?,What is the square root of 121?,11,12,10,11,12,10,0
math,14-16,כמה זה השורש הריבועי של 144?,What is the square root of 144?,12,13,11,12,13,11,0
math,14-16,כמה זה השורש הריבועי של 196?,What is the square root of 196?,14,15,13,14,15,13,0
math,14-16,כמה זה השורש הריבועי של 225?,What is the square root of 225?,15,16,14,15,16,14,0
math,14-16,כמה זה השורש הריבועי של 256?,What is the square root of 256?,16,17,15,16,17,15,0
math,14-16,כמה זה השורש הריבועי של 289?,What is the square root of 289?,17,18,16,17,18,16,0
math,14-16,כמה זה השורש הריבועי של 324?,What is the square root of 324?,18,19,17,18,19,17,0
math,14-16,כמה זה השורש הריבועי של 361?,What is the square root of 361?,19,20,18,19,20,18,0
math,14-16,כמה זה השורש הריבועי של 400?,What is the square root of 400?,20,21,19,20,21,19,0
math,14-16,כמה זה השורש הריבועי של 441?,What is the square root of 441?,21,22,20,21,22,20,0
math,14-16,כמה זה השורש הריבועי של 484?,What is the square root of 484?,22,23,21,22,23,21,0
math,14-16,"אם מכונית נוסעת 70 קמ""ש, כמה ק""מ תעבור ב-2.5 שעות?","If a car travels at 70 km/h, how many km will it cover in 2.5 hours?",175,185,160,175,185,160,0
math,14-16,"אם מכונית נוסעת 90 קמ""ש, כמה ק""מ תעבור ב-3 שעות?","If a car travels at 90 km/h, how many km will it cover in 3 hours?",270,280,255,270,280,255,0
math,14-16,"אם מכונית נוסעת 90 קמ""ש, כמה ק""מ תעבור ב-2 שעות?","If a car travels at 90 km/h, how many km will it cover in 2 hours?",180,190,165,180,190,165,0
math,14-16,"אם מכונית נוסעת 70 קמ""ש, כמה ק""מ תעבור ב-2 שעות?","If a car travels at 70 km/h, how many km will it cover in 2 hours?",140,150,125,140,150,125,0
math,14-16,"אם מכונית נוסעת 80 קמ""ש, כמה ק""מ תעבור ב-4 שעות?","If a car travels at 80 km/h, how many km will it cover in 4 hours?",320,330,305,320,330,305,0
math,14-16,"אם מכונית נוסעת 40 קמ""ש, כמה ק""מ תעבור ב-3 שעות?","If a car travels at 40 km/h, how many km will it cover in 3 hours?",120,130,105,120,130,105,0
math,14-16,"אם מכונית נוסעת 90 קמ""ש, כמה ק""מ תעבור ב-1.5 שעות?","If a car travels at 90 km/h, how many km will it cover in 1.5 hours?",135,145,120,135,145,120,0
math,14-16,"אם מכונית נוסעת 50 קמ""ש, כמה ק""מ תעבור ב-3 שעות?","If a car travels at 50 km/h, how many km will it cover in 3 hours?",150,160,135,150,160,135,0
math,14-16,"אם מכונית נוסעת 50 קמ""ש, כמה ק""מ תעבור ב-1.5 שעות?","If a car travels at 50 km/h, how many km will it cover in 1.5 hours?",75,85,60,75,85,60,0
math,14-16,"אם מכונית נוסעת 60 קמ""ש, כמה ק""מ תעבור ב-3 שעות?","If a car travels at 60 km/h, how many km will it cover in 3 hours?",180,190,165,180,190,165,0
math,14-16,"אם מכונית נוסעת 60 קמ""ש, כמה ק""מ תעבור ב-2 שעות?","If a car travels at 60 km/h, how many km will it cover in 2 hours?",120,130,105,120,130,105,0
math,14-16,מה שטח משולש שבסיסו 8 וגובהו 5?,What is the area of a triangle with base 8 and height 5?,20,40,13,20,40,13,0
math,14-16,מה שטח משולש שבסיסו 12 וגובהו 7?,What is the area of a triangle with base 12 and height 7?,42,84,19,42,84,19,0
math,14-16,מה שטח משולש שבסיסו 14 וגובהו 8?,What is the area of a triangle with base 14 and height 8?,56,112,22,56,112,22,0
math,14-16,מה שטח משולש שבסיסו 16 וגובהו 9?,What is the area of a triangle with base 16 and height 9?,72,144,25,72,144,25,0
math,14-16,מה שטח משולש שבסיסו 6 וגובהו 4?,What is the area of a triangle with base 6 and height 4?,12,24,10,12,24,10,0
math,14-16,מה שטח משולש שבסיסו 20 וגובהו 10?,What is the area of a triangle with base 20 and height 10?,100,200,30,100,200,30,0
math,14-16,מה שטח משולש שבסיסו 18 וגובהו 11?,What is the area of a triangle with base 18 and height 11?,99,198,29,99,198,29,0
math,14-16,מה שטח משולש שבסיסו 9 וגובהו 6?,What is the area of a triangle with base 9 and height 6?,27,54,15,27,54,15,0
math,14-16,מה שטח משולש שבסיסו 22 וגובהו 12?,What is the area of a triangle with base 22 and height 12?,132,264,34,132,264,34,0
science,10-11,כמה עיניים יש לרוב החרקים?,How many eyes do most insects have?,2,4,6,2,4,6,0
science,10-11,מה שם הכוכב שאנחנו חיים עליו?,What is the name of the planet we live on?,כדור הארץ,מאדים,נוגה,כדור הארץ,מאדים,נוגה,0
science,10-11,איזו עונה הכי חמה בישראל?,Which season is hottest in Israel?,קיץ,חורף,סתיו,קיץ,חורף,סתיו,0
science,10-11,מאיזה חלק בגוף אנחנו רואים?,Which body part do we see with?,עיניים,אוזניים,אף,עיניים,אוזניים,אף,0
science,10-11,איזה בעל חיים ידוע כ'ספינת המדבר'?,Which animal is known as the 'ship of the desert'?,גמל,סוס,פיל,גמל,סוס,פיל,0
science,10-11,מה קורה למים כשהם קופאים?,What happens to water when it freezes?,הופך לקרח,הופך לאדים,נעלם,הופך לקרח,הופך לאדים,נעלם,0
science,10-11,כמה כנפיים יש לרוב הציפורים?,How many wings do most birds have?,2,4,1,2,4,1,0
science,10-11,איזה איבר בגוף עוזר לנו לנשום?,Which organ helps us breathe?,הריאות,הכבד,הכליות,הריאות,הכבד,הכליות,0
science,10-11,מה צבעו של עלה בריא ברוב הצמחים?,What color is a healthy leaf in most plants?,ירוק,כחול,סגול,ירוק,כחול,סגול,0
science,10-11,איזה כוכב לכת נקרא 'כוכב הלכת האדום'?,Which planet is called the 'Red Planet'?,מאדים,נוגה,צדק,מאדים,נוגה,צדק,0
science,10-11,כמה רגליים יש לכלב?,How many legs does a dog have?,4,2,6,4,2,6,0
science,10-11,מאיפה מגיע החלב שאנחנו שותים בדרך כלל?,Where does the milk we usually drink come from?,פרה,עץ,דבורה,פרה,עץ,דבורה,0
science,12-13,מהו היסוד הכימי שסימנו Na?,What is the chemical element symbol Na for?,נתרן,חנקן,ניקל,נתרן,חנקן,ניקל,0
science,12-13,כמה חושים בסיסיים יש לאדם?,How many basic human senses are there?,5,4,6,5,4,6,0
science,12-13,מה שם הגז שממלא את רוב האטמוספרה שלנו?,What gas makes up most of our atmosphere?,חנקן,חמצן,פחמן דו-חמצני,חנקן,חמצן,פחמן דו-חמצני,0
science,12-13,איזה מכשיר מודד טמפרטורה?,Which instrument measures temperature?,מדחום,ברומטר,מד לחץ דם,מדחום,ברומטר,מד לחץ דם,0
science,12-13,מה שם התהליך שבו צמח סופג מים דרך השורשים?,What is the process by which a plant absorbs water through its roots?,ספיגה,נשימה,פוטוסינתזה,ספיגה,נשימה,פוטוסינתזה,0
science,12-13,איזו מערכת בגוף אחראית על עיכול מזון?,Which body system is responsible for digesting food?,מערכת העיכול,מערכת הנשימה,מערכת העצבים,מערכת העיכול,מערכת הנשימה,מערכת העצבים,0
science,12-13,מהי היחידה למדידת מסה?,What is the unit for measuring mass?,קילוגרם,מטר,שנייה,קילוגרם,מטר,שנייה,0
science,12-13,כמה אחוז בערך מגוף האדם הוא מים?,About what percent of the human body is water?,60%,20%,90%,60%,20%,90%,0
science,12-13,איזה כוכב לכת ידוע בטבעותיו?,Which planet is known for its rings?,שבתאי,מאדים,כוכב חמה,שבתאי,מאדים,כוכב חמה,0
science,12-13,מה שם הגז שצמחים סופגים לצורך פוטוסינתזה?,What gas do plants absorb for photosynthesis?,פחמן דו-חמצני,חנקן,הליום,פחמן דו-חמצני,חנקן,הליום,0
science,14-16,איזה איבר בגוף מייצר אינסולין?,Which organ produces insulin?,הלבלב,הכבד,הטחול,הלבלב,הכבד,הטחול,0
science,14-16,מה שם החוק הפיזיקלי שקובע שלכל פעולה יש תגובה שווה ומנוגדת?,What is the physical law stating every action has an equal and opposite reaction?,החוק השלישי של ניוטון,חוק המשיכה,חוק שימור האנרגיה,החוק השלישי של ניוטון,חוק המשיכה,חוק שימור האנרגיה,0
science,14-16,כמה כרומוזומים יש בתא אדם רגיל?,How many chromosomes are in a normal human cell?,46,23,64,46,23,64,0
science,14-16,מהו הסמל הכימי של זהב?,What is the chemical symbol for gold?,Au,Ag,Gd,Au,Ag,Gd,0
science,14-16,מה שם התהליך שבו אנרגיה עוברת מגוף חם לגוף קר?,What is the process where energy transfers from a hot body to a cold one?,מוליכות חום,קרינה,קיבוע חנקן,מוליכות חום,קרינה,קיבוע חנקן,0
science,14-16,איזו מולקולה אחראית להעברת חמצן בדם?,Which molecule is responsible for carrying oxygen in the blood?,המוגלובין,גלוקוז,אינסולין,המוגלובין,גלוקוז,אינסולין,0
science,14-16,מהי היחידה למדידת אנרגיה?,What is the unit for measuring energy?,ג'אול,ניוטון,וואט,ג'אול,ניוטון,וואט,0
science,14-16,מה שם התהליך שבו יצורים מתפתחים לאורך דורות?,What is the process by which organisms change over generations called?,אבולוציה,מוטציה,מיטוזה,אבולוציה,מוטציה,מיטוזה,0
science,14-16,איזה כוכב לכת קרוב ביותר לשמש?,Which planet is closest to the sun?,כוכב חמה,נוגה,כדור הארץ,כוכב חמה,נוגה,כדור הארץ,0
israeli_history,10-11,איך קוראים לדגל של ישראל?,What is Israel's flag called?,דגל ישראל,דגל דוד,אין לו שם מיוחד,דגל ישראל,דגל דוד,אין לו שם מיוחד,0
israeli_history,10-11,מה שם הים שנמצא ליד תל אביב?,What is the name of the sea near Tel Aviv?,הים התיכון,ים סוף,הים האדום,הים התיכון,ים סוף,הים האדום,0
israeli_history,10-11,באיזה יום בשבוע חוגגים את השבת?,On which day of the week is Shabbat celebrated?,שבת,שישי,ראשון,שבת,שישי,ראשון,0
israeli_history,10-11,מה שם העיר שבה נמצא הכותל המערבי?,What city is the Western Wall located in?,ירושלים,תל אביב,אילת,ירושלים,תל אביב,אילת,0
israeli_history,10-11,איזה חג חוגגים לזכר יציאת מצרים?,Which holiday is celebrated to commemorate the Exodus from Egypt?,פסח,סוכות,שבועות,פסח,סוכות,שבועות,0
israeli_history,10-11,מה שם הצמח שמככב בסמל מדינת ישראל?,What plant appears on Israel's national emblem?,זית,תפוח,ורד,זית,תפוח,ורד,0
israeli_history,10-11,באיזו עיר נמצא הכנסת?,In which city is the Knesset located?,ירושלים,תל אביב,חיפה,ירושלים,תל אביב,חיפה,0
israeli_history,12-13,מי היה ראש עיריית תל אביב הראשון?,Who was Tel Aviv's first mayor?,מאיר דיזנגוף,דוד בן-גוריון,חיים ויצמן,מאיר דיזנגוף,דוד בן-גוריון,חיים ויצמן,0
israeli_history,12-13,מהי לשון הרשמית העיקרית של מדינת ישראל?,What is the main official language of the State of Israel?,עברית,ערבית,אנגלית,עברית,ערבית,אנגלית,0
israeli_history,12-13,"מה שם ארגון ההגנה היהודי שקדם לצה""ל?",What was the name of the Jewish defense organization that preceded the IDF?,ההגנה,"האצ""ל","לח""י",ההגנה,"האצ""ל","לח""י",0
israeli_history,12-13,מה שם המבצע שהעלה לישראל אלפי יהודים מאתיופיה בשנת 1991?,What was the name of the 1991 operation that brought thousands of Ethiopian Jews to Israel?,מבצע שלמה,מבצע משה,מבצע יונתן,מבצע שלמה,מבצע משה,מבצע יונתן,0
israeli_history,12-13,מהו שמו העברי של הכותל המערבי המוכר גם כ'כותל הבכי'?,What is the Western Wall also historically known as?,הכותל,כיפת הסלע,מגדל דוד,הכותל,כיפת הסלע,מגדל דוד,0
israeli_history,12-13,איזה נהר הכי ארוך בישראל?,Which is the longest river in Israel?,הירדן,הירקון,הקישון,הירדן,הירקון,הקישון,0
israeli_history,12-13,מהי הגבעה שעליה נבנתה ירושלים העתיקה?,Which hill was ancient Jerusalem built on?,הר ציון,הר הכרמל,הר גריזים,הר ציון,הר הכרמל,הר גריזים,0
israeli_history,14-16,מי היה שר החוץ הראשון של מדינת ישראל?,Who was Israel's first Foreign Minister?,משה שרת,אבא אבן,יגאל אלון,משה שרת,אבא אבן,יגאל אלון,0
israeli_history,14-16,מה שם ההסכם שהביא לשלום בין ישראל לירדן ב-1994?,What was the agreement that led to peace between Israel and Jordan in 1994 called?,הסכם השלום עם ירדן,הסכמי אוסלו,הסכם קמפ דייויד,הסכם השלום עם ירדן,הסכמי אוסלו,הסכם קמפ דייויד,0
israeli_history,14-16,"באיזו שנה הצטרפה ישראל לאו""ם?",In what year did Israel join the UN?,1949,1948,1956,1949,1948,1956,0
israeli_history,14-16,"מי היה מפקד הפלמ""ח האחרון?",Who was the last commander of the Palmach?,יצחק רבין,משה דיין,יגאל אלון,יצחק רבין,משה דיין,יגאל אלון,0
israeli_history,14-16,מה שם מבצע החילוץ המפורסם באנטבה ב-1976?,What was the name of the famous 1976 Entebbe rescue operation?,מבצע יונתן,מבצע קדש,מבצע חומת מגן,מבצע יונתן,מבצע קדש,מבצע חומת מגן,0
israeli_history,14-16,מי חתם בשם ישראל על הסכם השלום עם מצרים ב-1979?,Who signed the 1979 peace treaty with Egypt on Israel's behalf?,מנחם בגין,יצחק שמיר,גולדה מאיר,מנחם בגין,יצחק שמיר,גולדה מאיר,0
israeli_history,14-16,מה שם קו ההגנה שנבנה על ידי ישראל לאורך תעלת סואץ אחרי 1967?,What was the name of the defense line Israel built along the Suez Canal after 1967?,קו בר-לב,קו מגינו,החומה הירוקה,קו בר-לב,קו מגינו,החומה הירוקה,0
general_knowledge,10-11,כמה שעות יש ביממה?,How many hours are there in a day?,24,12,48,24,12,48,0
general_knowledge,10-11,איזו חיה הכי גדולה בעולם?,Which is the largest animal in the world?,לוויתן כחול,פיל,ג'ירפה,לוויתן כחול,פיל,ג'ירפה,0
general_knowledge,10-11,מה הצבע שמתקבל מערבוב כחול וצהוב?,What color do you get by mixing blue and yellow?,ירוק,סגול,כתום,ירוק,סגול,כתום,0
general_knowledge,10-11,כמה רגליים יש לעכביש?,How many legs does a spider have?,8,6,10,8,6,10,0
general_knowledge,10-11,איזה כלי נגינה יש לו מיתרים ומנגנים עליו בקשת?,Which instrument has strings and is played with a bow?,כינור,חליל,תופים,כינור,חליל,תופים,0
general_knowledge,10-11,מה שם הצורה שיש לה שלוש צלעות?,What is the shape with three sides called?,משולש,מרובע,מעגל,משולש,מרובע,מעגל,0
general_knowledge,10-11,באיזו עונה נופלים עלים מהעצים בדרך כלל?,In which season do leaves usually fall from trees?,סתיו,אביב,קיץ,סתיו,אביב,קיץ,0
general_knowledge,10-11,איזה ספורט משחקים עם מחבט וכדור קטן מעל רשת?,Which sport is played with a racket and small ball over a net?,טניס,כדורגל,כדורסל,טניס,כדורגל,כדורסל,0
general_knowledge,12-13,מי כתב את הסיפור 'עליזה בארץ הפלאות'?,Who wrote 'Alice in Wonderland'?,לואיס קרול,האנס כריסטיאן אנדרסן,האחים גרים,לואיס קרול,האנס כריסטיאן אנדרסן,האחים גרים,0
general_knowledge,12-13,מהי בירת איטליה?,What is the capital of Italy?,רומא,מילאנו,ונציה,רומא,מילאנו,ונציה,0
general_knowledge,12-13,איזה מתכת משמשת להכנת תכשיטים ומוליכה חשמל היטב?,Which metal is used for jewelry and conducts electricity well?,כסף,ברזל,עופרת,כסף,ברזל,עופרת,0
general_knowledge,12-13,מה שם היבשת הקפואה בדרום כדור הארץ?,What is the name of the frozen continent in the south of the Earth?,אנטארקטיקה,גרינלנד,סיביר,אנטארקטיקה,גרינלנד,סיביר,0
general_knowledge,12-13,איזה ענף ספורט מתקיים באולימפיאדת החורף ולא בקיץ?,Which sport takes place in the Winter Olympics and not the Summer?,סקי,שחייה,כדורסל,סקי,שחייה,כדורסל,0
general_knowledge,12-13,מהי בירת ספרד?,What is the capital of Spain?,מדריד,ברצלונה,סביליה,מדריד,ברצלונה,סביליה,0
general_knowledge,12-13,איזה כלי תחבורה טס בעזרת כנפיים מסתובבות?,Which vehicle flies using rotating blades?,מסוק,מטוס,רכבת,מסוק,מטוס,רכבת,0
general_knowledge,14-16,מי כתב את הסימפוניה התשיעית המפורסמת?,Who composed the famous Ninth Symphony?,בטהובן,מוצרט,באך,בטהובן,מוצרט,באך,0
general_knowledge,14-16,מהו הנהר הארוך בעולם?,What is the longest river in the world?,הנילוס,האמזונס,המיסיסיפי,הנילוס,האמזונס,המיסיסיפי,0
general_knowledge,14-16,באיזו שנה נפלה חומת ברלין?,In what year did the Berlin Wall fall?,1989,1979,1999,1989,1979,1999,0
general_knowledge,14-16,מי היה הנשיא הראשון של ארצות הברית?,Who was the first President of the United States?,ג'ורג' וושינגטון,אברהם לינקולן,תומאס ג'פרסון,ג'ורג' וושינגטון,אברהם לינקולן,תומאס ג'פרסון,0
general_knowledge,14-16,מהי המדינה הקטנה ביותר בעולם?,What is the smallest country in the world?,הוותיקן,מונקו,סן מרינו,הוותיקן,מונקו,סן מרינו,0
general_knowledge,14-16,מי צייר את התקרה של הקפלה הסיסטינית?,Who painted the ceiling of the Sistine Chapel?,מיכלאנג'לו,רפאל,דה וינצ'י,מיכלאנג'לו,רפאל,דה וינצ'י,0
